Card Name
Clay Statue
Crookclaw Elder
Crookclaw Elder
Dragon Scales
Dragon Scales
Dreams of the Dead
Enchantment Alteration
Enchantment Alteration
Floodgate
Goblin Matron
Goblin Matron
Goblin Scouts
Goblin Scouts
Indomitable Archangel
Joven
Keeper of the Beasts
Kjeldoran Frostbeast
Kudo, King Among Bears
Liquimetal Coating
Mana Leech
Mindleech Mass
Mindleech Mass
Multani's Acolyte
Nameless One
Nameless One
Nantuko Monastery
Nesting Grounds
Nesting Grounds
Norwood Ranger
Phantom Warrior
Phantom Warrior
Raven Familiar
Sealed Fate
Sphinx's Revelation
Steam Blast
Steel Hellkite
Terisiare's Devastation
Think Tank
Transmogrifying Licid
Volcanic Geyser
Wax // Wane
Wizards' School
Absorb
Archghoul of Thraben
Blazing Archon
Bloodline Shaman
Boomerang
Bravado
Bravado
Bravado
Bravado
Congregate
Divine Transformation
Dreadbore
Elvish Pioneer
Elvish Pioneer
Elvish Pioneer
Eron the Relentless
Giant Trap Door Spider
Gigantoplasm
Hobble
Killing Wave
Lone Wolf
Memory Deluge
Mind Bomb
Mind Bomb
Mind Bomb
Mind Bomb
Mossfire Egg
Mountain
Mountain Goat
Oath of Scholars
Oath of Scholars
Possessed Nomad
Private Research
Private Research
Ravenous Rats
Reckless Abandon
Reckless Abandon
Reckless Abandon
Reckless Abandon
Rith's Charm
Rune of Protection: Red
Shimmer Dragon
Shivan Harvest
Shock
Soldevi Machinist
Souldrinker
Temple of Epiphany
Touch of Vitae
Trickery Charm
Trygon Predator
Wirewood Herald
Yavimaya Elder
Yavimaya Elder
Yavimaya Elder
Yavimaya Elder
Aleatory
Anavolver
Avenger en-Dal
Cackling Counterpart
Ceta Sanctuary
Dermoplasm
Diligent Farmhand
Diligent Farmhand
Emblazoned Golem
Encroach
Encroach
Fertile Ground
Fling
Fling
Fling
Fling
Fling
Fling
Gamekeeper
Goblin Kites
Goblin War Drums
Heightened Awareness
Hidden Ancients
Invigorate
Invigorate
Invigorate
Invigorate
Krosan Warchief
Lab Rats
Monk Realist
Mundungu
Puppeteer
Rain of Tears
Riptide Shapeshifter
Riptide Shapeshifter
Scattershot
Scattershot
Scattershot
Scattershot
Skullcrack
Soul-Guide Lantern
Soul-Guide Lantern
Soul-Guide Lantern
Soul-Guide Lantern
Swamp
Swamp
Tolsimir Wolfblood
Vodalian Illusionist
Whirlpool Rider
Acidic Slime
Ancestral Memories
Axelrod Gunnarson
Blacksmith's Skill
Blacksmith's Skill
Blacksmith's Skill
Blacksmith's Skill
Breeding Pit
Cabal Archon
Cauldron Dance
Chain of Acid
Chaoslace
Deja Vu
Digsite Engineer
Digsite Engineer
Digsite Engineer
Disrupt
Disruptive Student
Douse
Duplicity
Duplicity
Energy Flux
Ethersworn Adjudicator
Fiery Temper
Final Punishment
Forest
Funeral Charm
Funeral Charm
Funeral Charm
Funeral Charm
Gempalm Polluter
Gempalm Polluter
Gempalm Polluter
Goblin Digging Team
Herald of Anguish
Hidden Horror
Intervene
Jhoira's Toolbox
King of the Pride
Kjeldoran Royal Guard
Lashknife Barrier
Legacy Weapon
Magnigoth Treefolk
Master Healer
Monk Idealist
Monk Idealist
Monoskelion
Monoskelion
Mountain
Nantuko Vigilante
Peace Talks
Phyrexian Rager
Phyrexian Rager
Phyrexian Rager
Plains
Powerstone Minefield
Psychic Theft
Ramosian Captain
Ray of Command
Ray of Command
Riptide Mangler
Riptide Mangler
Rofellos's Gift
Rofellos's Gift
Rofellos's Gift
Runechanter's Pike
Shrouded Serpent
Siege-Gang Commander
Simulacrum
Swamp
Telekinetic Bonds
Thalakos Lowlands
Theft of Dreams
Theft of Dreams
Traxos, Scourge of Kroog
Tribal Golem
Tribal Golem
Unstable Hulk
Unstable Hulk
Veiled Sentry
Veiled Sentry
Veiled Sentry
Veiled Sentry
Vendetta
Werebear
Werebear
Werebear
Werebear
Yavimaya Granger
Yawgmoth's Edict
Archery Training
Cho-Manno's Blessing
Cho-Manno's Blessing
Cho-Manno's Blessing
Cho-Manno's Blessing
Cinder Marsh
Cinder Marsh
Endless Sands
Flock of Rabid Sheep
Force Bubble
Gustcloak Savior
Hexavus
Hidden Spider
Keeper of the Dead
Mountain
Overgrowth
Razorfin Hunter
Reaping the Rewards
Reborn Hero
Remote Isle
Shivan Dragon
Shivan Dragon
Sword of the Meek
Tasigur, the Golden Fang
Thieving Magpie
Thieving Magpie
Thunderscape Battlemage
Vexing Beetle
Volrath's Motion Sensor
Waterspout Elemental
Whipcorder
Barl's Cage
Corrupt Official
Exhaustion
Exhaustion
Exhaustion
Exhaustion
Exoskeletal Armor
Far Wanderings
Far Wanderings
Far Wanderings
Fleeting Image
Forest
Forest
Forest
Juxtapose
Lightning Axe
Merfolk Looter
Mind Games
Mistform Ultimus
Moonlit Wake
Multani's Presence
Nested Shambler
Ornithopter
Sliptide Serpent
Sliptide Serpent
Sphinx's Revelation
Spinal Embrace
Spurnmage Advocate
Tephraderm
Terramorphic Expanse
Terramorphic Expanse
Terramorphic Expanse
Terramorphic Expanse
Terramorphic Expanse
Waterfront Bouncer
Arcanis the Omnipotent
Ashnod the Uncaring
Breakthrough
Breakthrough
Forest
Goblins of the Flarg
Grinning Totem
Huntmaster of the Fells // Ravager of the Fells
Illusionary Terrain
Island
Jumbo Imp
Lilting Refrain
Mercenary Informer
Mistform Ultimus
Mistform Ultimus
Plains
Plains
Rebuild
Reveille Squad
Sentinel
Strands of Night
Tempting Licid
Vizzerdrix
Yawgmoth's Edict
Animal Boneyard
Call of the Wild
Chatterstorm
Chatterstorm
Chatterstorm
Chatterstorm
Chatterstorm
Checks and Balances
Crumbling Necropolis
Delif's Cone
Fallen Angel
Fool's Tome
Metallic Sliver
Mortify
Mountain
Personal Incarnation
Recoil
Sabertooth Nishoba
Samite Sanctuary
Steal Artifact
Stupor
Suffocating Blast
Tawnos, Solemn Survivor
Thorn of Amethyst
Tidal Bore
Tidal Bore
Treacherous Link
Treefolk Seedlings
Unifying Theory
Vine Trellis
Wedding Announcement // Wedding Festivity
Akroma's Blessing
Alela, Artful Provocateur
Cabal Shrine
Cloak of Mists
Cloak of Mists
Essence Vortex
Light of Day
Lightning Surge
Lightning Surge
Mind Harness
Mogg Sentry
Mountain
Nantuko Blightcutter
Parallax Inhibitor
Pestilence
Revered Unicorn
Rhystic Cave
Stand or Fall
Stand or Fall
Task Mage Assembly
Voice of All
Channel
Common Courtesy
Crippling Fear
Dread of Night
Forest
Fountain of Cho
Fountain of Cho
Gerrymandering
Ice Floe
Impatience
Last Rites
Millstone
Mindslicer
Phantom Nantuko
Phyrexian Splicer
Planar Overlay
Spore Flower
Tidehollow Sculler
Vibrating Sphere
Vibrating Sphere
Amber Prison
Angel of Retribution
Angel of Retribution
Arboreal Grazer
Bloated Toad
Bone Shards
Bone Shards
Bone Shards
Broken Fall
Curfew
Curfew
Curfew
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Havoc Demon
Island
Island
Mystic Crusader
Persuasion
Prismatic Boon
Spatula of the Ages
Stitch in Time
Stitch in Time
Undertaker
Vile Requiem
Bedlam Reveler
Debt to the Deathless
Desperate Research
Exquisite Firecraft
Eye of Yawgmoth
Flametongue Kavu
Goblin Charbelcher
Goblin Charbelcher
Harsh Judgment
Legacy's Allure
Levitation
Longbow Archer
Masked Gorgon
Masked Gorgon
Mishra, Eminent One
Mishra, Eminent One
Pallimud
Pegasus Stampede
Pestilence Rats
Pestilence Rats
Pestilence Rats
Plains
Plains
Planeswalker's Mirth
Step Through
Step Through
Sunscape Master
Alexi's Cloak
Alexi's Cloak
Baton of Morale
Baton of Morale
Baton of Morale
Baton of Morale
Bronze Calendar
Calibrated Blast
Calibrated Blast
Cantivore
Cephalid Inkshrouder
Clay Pigeon
Day of the Dragons
Exalted Angel
Krosan Wayfarer
Last Stand
Obsidian Acolyte
Obsidian Acolyte
Psychic Trance
Psychic Trance
Reclamation Sage
Rishadan Brigand
Rubinia Soulsinger
Saber Ants
Saber Ants
Sacred Mesa
Shivan Oasis
Somberwald Sage
Squeeze
Stalking Assassin
Zoologist
Alaborn Musketeer
Alaborn Musketeer
An-Havva Constable
Ancient Spider
Aven Mindcensor
Collapsing Borders
Collapsing Borders
Diamond Lion
Forest
Goblin Trenches
Kirtar's Wrath
Master of Etherium
Master of Etherium
Misinformation
Mudhole
Pestilence
Pestilence
Planeswalker's Mischief
Planeswalker's Mischief
Planeswalker's Scorn
Saproling Symbiosis
Stormscape Master
Sunken Field
Thopter Shop
Thopter Shop
Thran Foundry
Vengeful Dead
Charm School
Dragon Mage
Forest
Forget
Foundry Inspector
Foundry Inspector
Legion Warboss
Pure Reflection
Rivalry
Serra Angel
Sibilant Spirit
Skirk Alarmist
Soltari Visionary
Sunken Hollow
Sunstone
Well-Laid Plans
Zealous Conscripts
Angelic Renewal
Angelic Renewal
Angelic Renewal
Clickslither
Clickslither
Daring Apprentice
Duress
Emperor Crocodile
Emperor Crocodile
Emperor Crocodile
Emperor Crocodile
Get a Life
Innocent Blood
Innocent Blood
Memory Lapse
Memory Lapse
Memory Lapse
Memory Lapse
Noble Panther
Quicksand
Quicksand
Saprazzan Bailiff
Shifty Doppelganger
Shifty Doppelganger
Suq'Ata Firewalker
Swamp
Swamp
Swamp
Abyssal Specter
Antagonism
Blazing Rootwalla
Blazing Rootwalla
Blazing Rootwalla
Bottle Gnomes
Brainstone
Brainstone
Evolution Witness
Game Preserve
Gorilla Shaman
Greed
Guttersnipe
Island
Island
Mark of Fury
Mesa Enchantress
Natural Emergence
Scalpelexis
Smoldering Crater
Sutured Ghoul
The Hive
Vigilant Martyr
Anger of the Gods
Austere Command
Battle Screech
Blighted Woodland
Blighted Woodland
Goblin Grenade
Island
Magnetic Mountain
Mask of the Mimic
Mist of Stagnation
Mist of Stagnation
Overrun
Presence of the Master
Presence of the Master
Rowen
Skyshroud Ranger
Swamp
Swamp
Sword of the Paruns
Sword of the Paruns
Thing in the Ice // Awoken Horror
Voldaren Epicure
Voldaren Epicure
Volrath's Laboratory
Wood Elves
Anthroplasm
Instigator
Island
Lavaborn Muse
Mountain
Pale Moon
Royal Assassin
Thallid
Thallid
Torture Chamber
Traverse the Ulvenwald
Unholy Heat
Urza, Chief Artificer
Abyssal Hunter
Cranial Plating
Cranial Plating
Cranial Plating
Cranial Plating
Desolation Giant
Entrails Feaster
Ice Floe
Island
Island
Island
Llanowar Elves
Memory Lapse
Memory Lapse
Necrogoyf
Pentagram of the Ages
Rith's Grove
Wood Elves
Echo Chamber
Goblin Burrows
Goblin Snowman
Imaginary Pet
Keldon Twilight
Keldon Twilight
Lavinia, Foil to Conspiracy
Memory Lapse
Memory Lapse
Mercadian Bazaar
Nimble Mongoose
Nimble Mongoose
Nimble Mongoose
Nimble Mongoose
Soulgorger Orgg
Soulgorger Orgg
Spirit Link
Strands of Night
Sunken Hope
Thran Golem
Thran Golem
Uncle Istvan
Cryptic Gateway
Disdainful Stroke
Forest
Ichor Wellspring
Mountain
Null Elemental Blast
Tek
Alexi, Zephyr Mage
Avalanche Riders
Breaking Point
Decree of Savagery
Forest
Glyph of Destruction
Golgari Thug
Hollow Specter
Ricochet
Righteous Cause
Rootwater Matriarch
Rushwood Grove
Rushwood Grove
Swamp
Swamp
Tariff
Urza's Contact Lenses
Wood Sage
Ancient Silverback
Ancient Silverback
Angelic Page
Blaze
Crosis's Charm
Dance of Many
Desperate Gambit
Forest
Island
Mana Leak
Opal Titan
Pianna, Nomad Captain
Plains
Plains
Springleaf Drum
Springleaf Drum
Yawgmoth's Agenda
Young Pyromancer
Young Pyromancer
Dark Hatchling
Death Wish
Decaying Soil
Decaying Soil
Elite Archers
Fyndhorn Elder
Fyndhorn Elder
Fyndhorn Elder
Fyndhorn Elder
Goblin Lookout
Island
Jolted Awake
Jungle Basin
Kavu Monarch
Orim's Prayer
Samite Elder
Spellbane Centaur
Spore Frog
Spore Frog
Spore Frog
Thalia, Heretic Cathar
Thalia, Heretic Cathar
Archivist
Death Match
Dormant Volcano
Dormant Volcano
Forest
Kamahl, Fist of Krosa
Krosan Verge
Krosan Verge
Llanowar Elves
Massacre Girl
Memory Lapse
Memory Lapse
Memory Lapse
Memory Lapse
Mountain
Nomads en-Kor
Talon Sliver
Territorial Kavu
Xenic Poltergeist
Fade Away
Fade Away
Fade Away
Fade Away
Fade Away
Fade Away
Fade Away
Fade Away
Foster
Ice Cave
Parallax Nexus
Predator, Flagship
Psychosis Crawler
Safe Haven
Silent Specter
Uktabi Wildcats
Uktabi Wildcats
Witch Engine
Dig Through Time
Goblin Matron
Goldmire Bridge
Hinterland Harbor
Ichor Wellspring
Island
Razor Pendulum
Shadowmage Infiltrator
Shadowmage Infiltrator
Skeleton Scavengers
Thopter Spy Network
Bloodshot Cyclops
Darksteel Juggernaut
Urza's Ruinous Blast
Urza's Ruinous Blast
Wormfang Manta
Xenic Poltergeist
Blackmail
Blackmail
Blackmail
Blackmail
Dominate
Elvish Soultiller
Elvish Soultiller
Immolation
Immolation
Island
Notorious Assassin
Rogue's Passage
Thraben Inspector
Thraben Inspector
Thraben Inspector
Thraben Inspector
Vizzerdrix
Winged Sliver
Winged Sliver
Bloodshot Cyclops
Fledgling Dragon
Forest
Forest
Freyalise's Winds
Goblin Chirurgeon
Inspiring Statuary
Inspiring Statuary
Island
Island
Island
Island
Island
Miss Demeanor
Mob Justice
Mountain
Opt
Opt
Ornithopter
Ornithopter
Portent
Pyrostatic Pillar
Reaping the Graves
Seaside Haven
Wall of Glare
Aphetto Runecaster
Forest
Mountain
Mountain
Snow-Covered Wastes
Snow-Covered Wastes
Temple of the False God
Worn Powerstone
Black Mana Battery
Body Snatcher
Darigaaz's Caldera
Eye for an Eye
Forest
Smother
Coral Atoll
Coral Atoll
Coral Atoll
Emberwilde Djinn
Goblin Goon
Goblin Goon
Tormod's Crypt
Curse of Marit Lage
Temporal Adept
Diabolic Vision
Elemental Augury
Mercadian Atlas
Stronghold Gambit
Tribal Forcemage
Fog Bank
Fog Bank
Fog Bank
Heedless One
Infinite Hourglass
Phyrexian Rager
Rath's Edge
Somnophore
Sway of Illusion
Clifftop Retreat
Damping Engine
Grafted Skullcap
Mountain
Uktabi Wildcats
Argothian Elder
Bog Witch
Brawn
Corpse Harvester
Corpse Harvester
Feather, the Redeemed
Breaking Wave
Dawn Elemental
Intimidation
Trade Secrets
Trade Secrets
Elvish Guidance
Forest
Memory Lapse
Memory Lapse
Predatory Hunger
Sigil of the Empty Throne
Sigil of the Empty Throne
Defensive Formation
Defensive Formation
Defensive Formation
Marjhan
Victimize
Chromatic Sphere
Forest
Silas Renn, Seeker Adept
Silas Renn, Seeker Adept
Telepathy
Telepathy
Handcuffs
Magnetic Web
Mistvault Bridge
Overtaker
Quietus Spike
Quietus Spike
Soldevi Adnate
Avatar of Will
Liesa, Forgotten Archangel
Mountain
Accumulated Knowledge
Accumulated Knowledge
Accumulated Knowledge
Accumulated Knowledge
Forest
Noxious Gearhulk
Pirate Ship
Rhox
Rhox
Contested Cliffs
Envelop
Grafted Skullcap
Island
Lightning Cloud
Mountain
Questing Phelddagrif
Standard Bearer
Standard Bearer
Urza's Tower
Vhati il-Dal
Consuming Aberration
Consuming Aberration
Thermo-Alchemist
Thermo-Alchemist
Yotian Soldier
Goblin Game
Armadillo Cloak
Armadillo Cloak
Curfew
Dralnu's Crusade
Dralnu's Crusade
Elvish Ranger
Etchings of the Chosen
Island
Jolrael, Empress of Beasts
Mountain Valley
The Ultimate Nightmare of Wizards of the Coast(r) Customer Service
Dwarven Blastminer
Forest
General Jarkeld
Island
Spectral Guardian
Forest
Mountain
Quirion Ranger
Quirion Ranger
Gerrard's Verdict
Shriekmaw
Shriekmaw
Shriekmaw
Crooked Scales
Starke of Rath
Thrashing Wumpus
Umbilicus
Woodland Cemetery
Argivian Find
Squirrel Sovereign
Squirrel Sovereign
The Rack
Time Bomb
Field of Souls
Goblin Marshal
Birchlore Rangers
Birchlore Rangers
Blue Elemental Blast
Custody Battle
Perilous Forays
Resurgent Belief
Ornithopter
Blind Seer
Goblin Rock Sled
Mind Bend
Credit Voucher
Crypt Rats
Acidic Soil
Extinction
Isolated Chapel
Tolarian Winds
Aether Flash
Aether Flash
Megrim
Nantuko Elder
Sulfur Falls
Talrand, Sky Summoner
Talrand, Sky Summoner
War Tax
War Tax
Forbidden Crypt
Sigarda, Host of Herons
Wildfire
Instill Energy
Island
Niv-Mizzet, the Firemind
Mulldrifter
Mulldrifter
Mulldrifter
Plains
Plains
Plains
Contagion
Ichor Wellspring
Ichor Wellspring
Mageta the Lion
Mageta the Lion
Mageta the Lion
Mischievous Quanar
Vitalize
Flaring Pain
Hanna, Ship's Navigator
Master of the Pearl Trident
Rout
Rout
Timberwatch Elf
Timberwatch Elf
Timberwatch Elf
Timberwatch Elf
Verdant Succession
Verdant Succession
Angry Mob
Dread Wight
Immolation
Pearled Unicorn
Planar Guide
Swamp
Amrou Kithkin
Crystal Chimes
Crystal Chimes
Jinxed Idol
Karoo
Island
Island
Island
Island
Island
Keldon Necropolis
Forest
Forest
Forest
Salt Marsh
Songs of the Damned
Angel's Trumpet
Crosis's Catacombs
Earnest Fellowship
Solemn Simulacrum
Wild Research
Wild Research
Island
Island
Magus of the Unseen
Titania's Song
Drift of Phantasms
Drift of Phantasms
Feldon of the Third Path
March of Progress
March of Progress
Disrupt
Prismatic Ending
Teferi's Moat
Upwelling
Phyrexian Walker
Phyrexian Walker
Phyrexian Walker
Sculpting Steel
Alter Reality
Baleful Strix
Forest
Keep Watch
Keep Watch
Minion of the Wastes
Peregrine Drake
Wheel of Torture
Island
Island
Forest
Mystic Confluence
Tsabo Tavoc
Adaptive Automaton
Delirium
Tainted Isle
Tawnos's Wand
Verdeloth the Ancient
Life // Death
Overlaid Terrain
Vision Charm
Vision Charm
Vision Charm
Arcane Laboratory
Rayne, Academy Chancellor
Future Sight
Inevitable Betrayal
Treva's Ruins
Treva's Ruins
Treva's Ruins
Darkpact
Fyndhorn Elves
Primal Whisperer
Whirlpool Warrior
Icy Manipulator
Urza's Rage
Worldgorger Dragon
Heart Sliver
Pashalik Mons
Peer Pressure
Riptide Entrancer
Risky Move
Risky Move
Strike It Rich
Urza's Tower
Urza's Tower
Ethereal Armor
Ethereal Armor
Ethereal Armor
Jabari's Influence
Phyrexian Tyranny
Slate of Ancestry
Clone
Grand Melee
Thopter Squadron
Destructive Flow
Destructive Flow
Tide Shaper
Tide Shaper
Ashes to Ashes
Glory
Plaguebearer
Frantic Search
Flickerwisp
Forest
Command Tower
Fireball
Portcullis
Tidespout Tyrant
Eternal Witness
Goblin Anarchomancer
Veldt
Bad River
Cloud Cover
Exile
Rogue's Passage
Zur's Weirding
Caller of the Hunt
Chaotic Goo
Farseek
Farseek
Farseek
Farseek
Rancor
Rancor
Rancor
Rancor
Dandan
Dandan
Dandan
Swords to Plowshares
Belbe's Portal
Island
Sengir Vampire
Sunstrike Legionnaire
Tsabo's Decree
Blasted Landscape
Wellwisher
Wellwisher
Wellwisher
Deadeye Navigator
Cursed Mirror
Temur Battle Rage
Carrionette
Celestial Convergence
Ancient Ooze
Goblin War Strike
Goblin War Strike
Goblin War Strike
Goblin War Strike
Plague Spitter
Rishkar's Expertise
Callous Oppressor
Stronghold Assassin
Mass Hysteria
Pulsemage Advocate
Pulsemage Advocate
Brightstone Ritual
Brightstone Ritual
Mizzix's Mastery
Parallel Thoughts
Parallel Thoughts
Weird Harvest
Voidmage Prodigy
Voidmage Prodigy
Aetherize
Mesmeric Fiend
Second Harvest
Second Harvest
Spelljack
Spelljack
Tainted Peak
Dress Down
Sunscape Familiar
Verdeloth the Ancient
Ivory Mask
Saprazzan Heir
Avatar of Might
Divine Presence
Gravecrawler
Hypnotic Specter
Counterspell
Counterspell
Counterspell
Counterspell
Counterspell
Counterspell
Death Pits of Rath
Squee's Revenge
Squee's Revenge
Squee's Revenge
Vampire Hexmage
Triangle of War
Cloud Pirates
Plains
Plains
Seeker of Skybreak
Quirion Druid
Quirion Druid
Phyrexian Delver
Dandan
Dandan
Dandan
Careful Study
Careful Study
Careful Study
Careful Study
Careful Study
Veteran Bodyguard
Skyship Weatherlight
Diplomatic Immunity
Supreme Verdict
Island
Muddle the Mixture
Thran Turbine
Thwart
Counterspell
Delver of Secrets // Insectile Aberration
Delver of Secrets // Insectile Aberration
Mishra's Helix
Etali, Primal Storm
Guilty Conscience
Guilty Conscience
Spiritmonger
Mangara's Tome
Nature's Chosen
Monkey Cage
Dual Nature
Mine Layer
Copper Gnomes
Dragon Arch
Dragon Arch
Pyrotechnics
Guiltfeeder
Lightning Bolt
Salt Flats
Polymorph
Daru Warchief
Daru Warchief
Snow-Covered Forest
Thespian's Stage
Intrepid Hero
Overmaster
Rootwater Thief
Evolutionary Leap
Evolutionary Leap
Soothsaying
Planar Portal
Primal Order
Equilibrium
Aether Barrier
Tectonic Instability
Tireless Provisioner
Annul
Buried Alive
Buried Alive
Garth One-Eye
Last Laugh
Brightstone Ritual
Prosperity
Ancient Den
Jeska, Warrior Adept
Karona, False God
Mirari
Ramos, Dragon Engine
Dramatic Reversal
Anger
Cephalid Coliseum
Duress
Riptide Laboratory
Counterspell
Wake of Destruction
Mirror Entity
Mirror Entity
Sylvan Yeti
Mudslide
Flare of Duplication
Dragonstorm
Halls of Mist
Limited Resources
Mortivore
Mortivore
Mortivore
Nostalgic Dreams
Aphetto Alchemist
Aphetto Alchemist
Citanul Flute
Karn's Bastion
Goblin Warchief
Blood Artist
Trinket Mage
Commander Eesha
Land Grant
Ancient Den
Ancient Den
Ancient Den
Argothian Wurm
Chromatic Lantern
Daze
Daze
Daze
Daze
Soraya the Falconer
Bosium Strip
Flickering Ward
Ill-Gotten Gains
Phyrexian Processor
Sram, Senior Edificer
Infernal Genesis
Blackblade Reforged
Abrupt Decay
Drain Power
Bladewing the Risen
Gush
Soul Warden
Abjure
Abjure
Baral, Chief of Compliance
Illusionist's Bracers
Gaea's Touch
Gaea's Touch
Harvester of Souls
High Market
Leveler
Illicit Auction
Pariah's Shield
Victimize
Victimize
Victimize
Xantid Swarm
Mana Severance
Haunted Crossroads
Plains
Skeletal Scrying
Last-Ditch Effort
Soulherder
The Underworld Cookbook
Dark Ritual
Ignoble Hierarch
Ornithopter of Paradise
Ornithopter of Paradise
Ornithopter of Paradise
Ornithopter of Paradise
Sol Ring
Dark Ritual
Intruder Alarm
Seahunter
Carrion Feeder
Red Elemental Blast
Blistering Firecat
Head Games
Goblin War Strike
Hydroblast
Brainstorm
Brainstorm
Hammer of Bogardan
Spellshock
Dark Depths
Dark Depths
Faith Healer
Devoted Caretaker
Maze's End
Cryptolith Rite
Exhume
Archmage's Charm
Cromat
Cuombajj Witches
Null Brooch
Burrowing
Recycle
Forest
Urza's Mine
Zulaport Cutthroat
Bottomless Pit
Crystal Vein
Dark Ritual
Dreamborn Muse
Dreamborn Muse
Dreamborn Muse
Mist Dragon
Blue Elemental Blast
Blue Elemental Blast
Blue Elemental Blast
Island
Machine God's Effigy
Hullbreaker Horror
Caltrops
Crystal Quarry
Manabarbs
Rhystic Tutor
Rhystic Tutor
Goblin King
Lethal Vapors
Thran Dynamo
Ascendant Evincar
Goblin Bombardment
Elvish Piper
Exhume
Exhume
Exhume
Fishliver Oil
Vile Entomber
Vile Entomber
Vile Entomber
Bind
Merieke Ri Berit
Windfall
Read the Bones
Read the Bones
Caltrops
Barrin, Master Wizard
Duress
Caller of the Claw
Leviathan
Reconstruction
Soul Warden
Soul Warden
Energy Tap
Liquimetal Torque
Helm of Possession
Grip of Chaos
Doomsday
Flicker
Lithoform Engine
Pox
Metamorphosis
Animate Dead
Flusterstorm
Master Transmuter
Staff of Domination
Graveborn Muse
Lord of the Pit
Spirit Link
Kill Switch
Coffin Queen
Crop Rotation
Crop Rotation
Crop Rotation
Mental Note
Mental Note
Mental Note
Mental Note
Mental Note
Sigil of Sleep
Ertai, Wizard Adept
Voltaic Key
Standstill
Urza's Power Plant
Retribution of the Meek
Coalition Victory
Do or Die
Do or Die
Kangee, Aerie Keeper
Goblin Engineer
Mother of Runes
Gravestorm
Mystic Sanctuary
Mobilize
Biorhythm
Spark Double
Undermine
Bedlam
Dauthi Voidwalker
Fellwar Stone
Fellwar Stone
King's Assassin
Helm of the Host
Chain of Vapor
Vile Consumption
Pemmin's Aura
Puppet's Verdict
Windswept Heath
Caves of Koilos
Manifold Key
Kiki-Jiki, Mirror Breaker
Steal Enchantment
Dandan
Dandan
Dandan
Goblin Piledriver
Undead Warchief
Final Fortune
Blue Elemental Blast
Attunement
Seedborn Muse
Worldly Tutor
Bloodstained Mire
Wooded Foothills
Oath of Druids
Ashling, Flame Dancer
Polluted Delta
Verdant Catacombs
Lightning Bolt
Mishra's Factory
Marsh Flats
Arid Mesa
Scalding Tarn
Mishra's Factory
Hypnotic Specter
Misty Rainforest
Sol Ring
Labratory Maniac
Snapping drake
Cryptbreaker
Mishra’s foundry
Hivis of the Scale
Puppet Strings
Miscalculation
True-Name Nemesis
Terrain Generator
Insight
